title,text,sport
Afghanistan exit Asia Cup after six-wicket defeat to Sri Lanka,"Afghanistan bowed out of the Asia Cup on Thursday after suffering a six-wicket defeat to Sri Lanka in Abu Dhabi. Chasing 170, Sri Lanka sealed victory with eight balls to spare, finishing the group stage unbeaten. Fast bowler Nuwan Thushara was instrumental in dismantling Afghanistan’s top order, claiming four wickets for 18 runs. Later, wicketkeeper-batter Kusal Mendis anchored the chase with a superb unbeaten 74 off 52 balls, including 10 boundaries. His explosive fifth-wicket stand of 52 runs in just 23 balls with Kamindu Mendis ensured Sri Lanka’s dominance. Afghanistan, batting first, struggled early but veteran all-rounder Mohammad Nabi provided late fireworks. He smashed 60 off just 22 deliveries, including six sixes, hammering 32 runs in the final over to lift his side to 169 for eight. Nabi’s fifty equalled the record for the fastest by an Afghan batter. Despite Nabi’s heroics, Sri Lanka kept control throughout and progressed to the second round alongside Bangladesh. Afghanistan, meanwhile, exited the tournament with one win in three games.",cricket
New Zealand crush England in Cricket World Cup opener,"New Zealand crushed defending champions England by nine wickets in the opening match of the 50-over World Cup on Thursday, demonstrating again their knack of punching above their weight in showpiece events. Devon Conway and Rachin Ravindra smashed rapid unbeaten centuries to set up New Zealand’s successful pursuit of a 283-run victory target, which they reached with 13.4 overs to spare, Reuters reported. It was a rematch of the heart-stopping 2019 final at Lord’s in which England were declared winners via a now-scrapped boundary countback rule after the game had ended in a tie. Ravindra’s unbeaten 123 off 96 balls, studded with 11 fours and five sixes, earned the 23-year-old player-of-the-match award on his World Cup debut. Electing to field, New Zealand’s bowlers restricted their opponents to 282-9, a modest total considering the firepower in England’s usually formidable batting lineup. England’s batters did not really fire but Joe Root (77), Jos Buttler (43) and Jonny Bairstow (33) provided some resistance. However, England could not string together enough partnerships and kept losing wickets at regular intervals. Matt Henry claimed 3-48 for New Zealand and their three spinners shared five wickets on a hot afternoon at the Narendra Modi Stadium. All 11 England batters made double figures — the first time any side have managed that in ODIs — but it was a patchy batting display. “Very much outplayed by New Zealand and a tough defeat to take,” Buttler said. “I thought we were well below-par. We were aiming for somewhere around 330 and the pitch somewhat played better under lights.” New Zealand lost Will Young for nought in the first over but Conway, who smashed a career-best 152 not out, and Ravindra turned the heat back on England with their free scoring. The left-handers appeared to be competing with each other to reach the 50-mark quickest — both getting there in 36 balls. Conway, who hit 19 fours and three sixes, brought up his hundred off 83 balls. Ravindra, who shared unbroken 273-run partnership with Conway, took one delivery fewer to notch up his maiden ODI hundred. “Obviously, a fantastic partnership between Rachin and Devon,” Tom Latham, who led New Zealand in the absence of Kane Williamson, said. “Probably the most pleasing thing was Devon and Rachin just reacted to what was being bowled. “Rachin played a fantastic innings and (we are) proud of him.” New Zealand rested Williamson (knee) and fast bowler Tim Southee (thumb) to give them more time to recover from surgery. England left out Ben Stokes, who is nursing a minor hip injury, replacing him with Harry Brook who made a brisk 25 before falling to Ravindra.",cricket
Pakistan seal semi-final T20 World Cup spot after beating Namibia,"Pakistan defeated Namibia by 45 runs on Tuesday night in Abu Dhabi to become the first side to qualify for the semi-finals of the T20 World Cup 2021. Chasing a formidable target of 190, Namibia gave a good account of their ability and promise and eventually finished with 144-5 as Pakistan collected the two points they needed to go through to the next round. Pakistan’s total is the second-highest in this tournament, behind Afghanistan’s 190-4 against Scotland in Sharjah. Afghanistan’s next T20 World Cup match is on Wednesday against India. * We Give So They May Live Campaign – Donate Here:www.helpafg.org Ariana News and Ariana Television fully support the Bayat Foundation’s initiative to raise funds to provide emergency aid to poverty-stricken Afghans. As official media partners we appeal to you to help provide food essentials to as many Afghan families as possible.",cricket
World Cup 2022: Lionel Messi and Argentina win in dramatic final,"Argentina won the 2022 FIFA World Cup on Sunday, defeating France in penalty kicks in one of the most dramatic matches in the history of the sport. After a 3-3 tie through extra time, Argentina won 4-2 in penalty kicks. The victory for the South American nation is a stunning turnaround from its performance last month, when Saudi Arabia shocked the world by defeating them 2-1. The setback was short-lived, however, for the prestigious team, led by soccer legend Lionel Messi, who carried them to their first victory since 1986 and their third overall. Argentina got off to a commanding start, scoring two goals before halftime. One of those goals was from Messi, the other from teammate Ángel Di María. The game went into overtime after two 45-minute halves with the two teams tied at 2-2. Messi regained Argentina’s lead in overtime, scoring a goal at the 108 minute mark, only to be matched by Mbappe in the 118 minute.",football
Afghanistan beat Mongolia 5-0 in AFC U-17 Asian Cup Qualifiers,"Afghanistan U-17 team thrashed Mongolia 5-0 in the Asian Cup Qualifiers in Tajikistan capital Dushanbe on Friday. Hakim Khan Niazi claimed a hat-trick as he scored three goals in the first half of the play. Ali Ramazani scored the fourth goal for Afghanistan in the 74thminute, before captain Ali Reza Rahimi hitting the last goal in the 89thminute. With the win, Afghanistan sit on top of the Group H table. “We showed to Mongolia what football is. We will play better against Tajikistan,” Rahimi said following the match. Afghanistan will next take on Tajikistan on Sunday.",football
Afghanistan defeats Vietnam 5–2 in another friendly ahead of AFC Futsal Asian Cup,"Afghanistan’s national futsal team recorded an impressive 5–2 victory over Vietnam in a friendly match on Tuesday as part of the team’s preparations for the AFC Futsal Asian Cup 2026, which will be held in Indonesia. Hamid Reza Hosseini and Reza Hosseinpour each scored one goal, while Seyed Mojtaba Hosseini starred with a hat-trick, sealing the win for Afghanistan. The friendly encounter provided valuable international match experience as Afghanistan continues to fine-tune its squad and tactics ahead of the continental tournament. Vietnam managed to score twice but struggled to contain Afghanistan’s offensive pressure throughout the game. The match was played two days after Afghanistan beat the same team 5-3. The AFC Asian Futsal Cup will kick off on January 27 in Indonesia, featuring 16 of Asia’s top teams. Afghanistan has been drawn into Group C, alongside regional powerhouse Iran, Saudi Arabia, and Malaysia, making qualification for the knockout stage a significant challenge. The Asian Cup is regarded as Asia’s premier futsal competition and also serves as an important platform for emerging teams to gain international exposure at the continental level. All matches of the tournament will be broadcast live by Ariana Television across Afghanistan, allowing fans nationwide to closely follow Afghanistan’s journey in the competition.",futsal
Bangladesh clinch T20I series against Afghanistan after tense chase,"Bangladesh clinched the three-match T20I series against Afghanistan with a nervy two-wicket win in Sharjah, taking an unassailable 2–0 lead. Shoriful Islam was the standout performer, combining a brilliant spell of 1 for 13 with the ball and a crucial unbeaten 11 with the bat to guide his side home. Afghanistan posted 146 after being put in to bat. Ibrahim Zadran (38) and Rahmanullah Gurbaz (30) gave them a steady platform, but Bangladesh’s bowlers kept the scoring in check. Shoriful’s four overs cost just 13 runs, while Nasum Ahmed and Saifuddin also applied pressure. The final five overs produced only 40 runs as Afghanistan were restricted to a below-par total. Bangladesh’s chase was far from straightforward. After losing early wickets to Azmatullah Omarzai, Shamim Hossain (33) and Jaker Ali (27) rebuilt with a 56-run stand. Shamim’s aggressive strokes, including two sixes, shifted momentum, but his dismissal sparked a collapse. From 102 for 4, Bangladesh crashed to 129 for 8, as Noor Ahmad, Rashid Khan, and Omarzai struck in quick succession. With 19 needed off 12 balls and only two wickets in hand, Nurul Hasan and Shoriful produced a composed finish. Nurul struck a six off Noor at the start of the 19th over, and with wides and Shoriful’s boundary, the target was down to two runs from the final over. Shoriful then drove Omarzai’s first ball for four, sealing victory. Nurul remained unbeaten on 31 from 21 deliveries. The result capped a commanding series win for Bangladesh, who held their nerve in back-to-back tense chases. The third T20I will be played on Sunday.",cricket
France accused of ‘match-fixing’ over dismal performance against Iran at Futsal World Cup,"France is at the center of controversy after coaches of various national teams accused the French of match-fixing following a heavy defeat against Iran in a group stage match at the World Cup in Uzbekistan. France went down 4-1 to Iran in their match last week. A post on X by Ricardo Iñiguez, the head coach of Libya, who were eliminated from the competition at the group stage, said the match had been a “disgrace” for the sport. “Libya is going to file an official complaint in relation to this match for ‘match fixing’, it is a disgrace for our sport,” Iñiguez wrote, before going on to share criticism from other figures within the sport. The Guardian reported that FIFA is looking into claims of “match manipulation” and breaches of “the spirit of the game”, rather than match fixing. Social media posts by fans during the match also highlighted the lackluster performance by France. In another X post, the Thailand coach, Miguel Rodrigo, said his team were waiting to take on the French “with open arms”, but also it was a “a world disgrace” and that they had “dishonoured my sport”. Video footage shared by Rodrigo appears to show French goalkeeper Thibaut Garros moving away from the ball in the buildup to Iran’s opening goal. The French went on to record only six shots on goal over the course of the entire match, scoring a consolation after Iran had eased to a 4-0 lead. In a statement, Fifa said it was “aware of complaints filed by participating teams at the Futsal World Cup regarding the Group F match between France and Iran” but that “no further comment will be made while this process is ongoing”.",futsal
Nepal pulls off one-wicket win over Afghanistan in U19 Asia Cup,"Nepal’s U19 cricket team pulled off a dramatic one-wicket victory over Afghanistan on Tuesday in the final group match of the U19 Asia Cup in Sharjah, UAE. After winning the toss and opting to bat first, Afghanistan U19 were bowled out for 123 runs in 35.4 overs. Despite the win, Nepal will not progress to the knockout stages, as they lost their earlier matches against Sri Lanka and Bangladesh. Afghanistan is also out of the running having now lost all three of their matches. The Asian Cricket Council (ACC) U19 Asia Cup 2024 started on November 29 and will run through to December 8. Eight teams are taking part in the 50-over event, with Bangladesh defending champions. As per the ACC U19 Asia Cup 2024 format, the teams have been divided into two groups of four teams each. Group A has India, Pakistan, Japan and the hosts United Arab Emirates (UAE). Bangladesh, Sri Lanka, Afghanistan and Nepal are clubbed in Group B. The top two teams from each group will advance to the knockout round after the group stage matches. The final will be played on December 8.",cricket
Australia reach Champions Trophy semis after Lahore washout,"Australia sailed into the Champions Trophy semi-finals after their final Group B match against Afghanistan was abandoned at the Gaddafi Stadium on Friday. Chasing 274 for victory against the plucky Afghans, Australia raced to 109-1 in the 13th over when heavy rain stopped play. While the pitch was kept under cover, the outfield appeared soaked, prompting the match officials to call off play. Australia advanced to the knockout stage with four points that include two abandoned matches. “It’s a good result. That’s what we were after at the start of the tournament,” Australia captain Steve Smith said. “To finish in the top two and heading to the semis, satisfying so far.” “I think the guys did a really good job to restrict them to 273 and I thought we were in a pretty good position when the game got called off.” Australia, who arrived without their frontline quicks including regular captain Pat Cummins, will particularly take heart from Head’s return to form ahead of the tournament’s business end. South Africa, who have three points and face an already-eliminated England on Saturday, look primed to join them in the semi-finals. MATHEMATICALLY ALIVE Afghanistan, who have three points but a poor net run rate, are only mathematically alive in the race although they beat England in their impressive Champions Trophy debut. “About the tournament, you never know,” Afghanistan captain Hasmatullah Shahidi said. “We still have hopes. We are waiting for the next game, hopefully England win big.” India and New Zealand have made the last four from Group A. Earlier, Afghanistan’s Sediqullah Atal struck 85 against Australia but it was Azmatullah Omarzai’s enterprising 67 down the order that powered them to 273 all out in exactly 50 overs. Australia began briskly in their chase, aided by Afghanistan’s poor catching. Rashid Khan dropped Travis Head, who was on six, and in the next over Matthew Short (20) was spilled in the deep. Short could not make the most of the reprieve and fell to Omarzai in the next over but dropping Head, who was batting on 59 when rain stopped play, proved costly for Afghanistan. The left-hander raced to a 34-ball fifty and took Australia past the 100-mark in the 12th over before rain stopped play. Cricket fans across the country can watch all Champions Trophy matches live on Ariana Television. For updates, fixtures and schedules be sure to follow Ariana Television and Ariana News’ digital platforms. (With inputs from Reuters)",cricket
FIFA World Cup: France beat England to set up Morocco semi-final,"Olivier Giroud sent France into a World Cup semi-final with Morocco as his late header after Aurelien Tchouameni’s opener clinched a gutsy 2-1 win over England on Saturday with Harry Kane blazing a penalty over the bar six minutes from time, Reuters reported. Four years ago Giroud did not manage a shot on target in the entire tournament as France won the title but in Qatar he now has four goals and has become his country’s record goalscorer along the way. France are now one win away from becoming the first back-to- back finalists since Brazil in 2002 and two from being the third team to retain the trophy after Brazil in 1962 and Italy in 1938. According to Reuters, France’s manager Didier Deschamps, who captained them to their first World Cup triumph in 1998 and coached them to their second title four years ago, described the victory as fabulous. “It was a big game, we played a superb England team who are strong technically and physically,” he said “It’s brilliant for the players to be in the last four again. We got a bit lucky although we gave away two penalties but we kept our lead with our hearts and our guts.” France really did have to work hard for their win as the first major tournament knockout match between the old sporting rivals maintained the excitement and edge-of the seat drama that has made it such an extraordinary quarter-final weekend. They went ahead after 17 minutes when, after a length-of-the-field break, Antoine Griezmann rolled the ball invitingly into the path of Tchouameni, whose 25-yard low shot flew just inside the post, read the report. England eventually got going, pushing and probing, and France keeper Hugo Lloris was quick off his line to save at the feet of Kane and then parried another drive from England’s captain. Lloris was in action again at the start of the second half, tipping a fierce Jude Bellingham shot over the bar as England came out full of purpose and energy. The dangerous Bukayo Saka was then tripped by Tchouameni and Kane smashed the penalty high beyond his Tottenham Hotspur team mate Lloris to draw level with Wayne Rooney as England’s record scorer on 53 goals. England, beaten semi-finalists four years ago, were buoyed by the goal and were playing with huge confidence but although center-back Harry Maguire brushed a post with a header they could not make their dominance count. Instead France hit back as Griezmann swung in a perfect center that Giroud did brilliantly to reach in front of Maguire, planting his header into the slimmest of gaps after 78 minutes. The cross took the ever-elusive Griezmann beyond Thierry Henry as his country’s top assist provider with 28 and was another reminder of why he has played an extraordinary 72 internationals in a row. England were then given another lifeline via VAR when Theo Hernandez flattened Mason Mount but this time Kane sent his spot kick wildly over the bar in a painful reminder of Chris Waddle’s effort when they lost the 1990 semi-final shootout to West Germany. England pushed for an equalizer but when substitute Marcus Rashford’s added-time free kick fizzed just over the bar it meant a seventh defeat in 10 World Cup quarter-finals and another ‘four years of hurt’ to tack on since their solitary triumph in 1966. “We were here to try to win the tournament and we believed we could and I think that we showed with that performance tonight against the reigning champions that we’ve got a team that could have done that,” said coach Gareth Southgate. “It’s fine margins and things at both ends that have ended up deciding the game but I think the way they’ve progressed as a group throughout this tournament has been fantastic.” France now face the unlikeliest of semi-final opponents in Morocco, after they beat Portugal 1-0 earlier on Saturday and Deschamps was quick to recognise their worth, Reuters reported. “Morocco deserve praise,” he said. “Maybe they were not expected to be here (in the semis), but they conceded only one goal and seeing them here is not a surprise at all.” Where to watch Afghan fans need not miss out on any of the excitement of this year’s tournament which is being broadcast live and exclusively by Ariana Television in Afghanistan. For the full broadcast scheduleCLICK HERE",unknown
ACB and cricket players provide financial assistance to Kunar earthquake victims,"The officials, players, and staff members of the Afghanistan Cricket Board (ACB) provided financial aid to families affected by the recent earthquake in Kunar province. The support was extended from the ACB headquarters in Kabul and also from the province of Khost. According to the ACB, this humanitarian initiative will continue in the future as part of their commitment to support disaster-affected communities. In addition, all members of the national cricket team currently participating in international matches in the United Arab Emirates have donated their match fees and individual player bonuses to aid those impacted by the earthquake in Kunar. The ACB further stated that all donations—along with other financial contributions—will soon be delivered to the families of the victims in Kunar.",cricket
South Africa announces squad for white-ball series against Afghanistan,"South Africa this week announced the squads for their white-ball series later this month against Afghanistan in the UAE. The South African ODI squad set to face Afghanistan will depart for the UAE on Saturday, 14 September, in preparation for the series opener on 18 September. In July, the Afghanistan Cricket Board (ACB) confirmed that it will host South Africa for a series of three One Day International (ODI) matches from September 18 to 22 in the United Arab Emirates. This three-match ODI series will be the first-ever bilateral cricket series between the two countries hosted by Afghanistan. The first ODI will be played on September 18, with the second and third ODIs scheduled for September 20 and 22 respectively at the Sharjah Cricket Stadium in UAE. The Afghanistan team will leave Delhi for the UAE on the same day, following their one-off Test against New Zealand which is scheduled from September 9 to 13 in Greater Noida, India. The ACB has not yet announced the Afghanistan squad. The South Africa ODI squad against Afghanistan is as follows: Temba Bavuma (captain), Ottneil Baartman, Nandre Burger, Tony de Zorzi, Bjorn Fortuin, Reeza Hendricks, Aiden Markram, Wiaan Mulder, Lungi Ngidi, Andile Phehlukwayo, Nqaba Peter, Andile Simelane, Jason Smith, Tristan Stubbs, Kyle Verreynne and Lizaad Williams.",cricket
Australia to host Afghanistan for historic one-off Test next year,"Australia will host Afghanistan for a single Test match in November next year as per the agreement between Afghanistan Cricket Board (ACB) and Cricket Australia (CA), CricTracker reported Sunday. The ACB confirmed the development and said the historic Test was originally scheduled to be held in November this year but had to be postponed due to the COVID-19 pandemic. Next year’s Test will be the first-ever between Australia and Afghanistan. Afghanistan was awarded Test status by the ICC in 2017 and has played four Test matches so far – the first in 2018 against India. While the one-off Test against Afghanistan had to be postponed, Australia has been able to restart matches and is currently playing a four-match Test series against India. Both teams recently played three ODIs and as many T20Is. Australia won the ODIs before India won the T20I series.",cricket
Top T20 World Cup records that could be broken in USA and West Indies,"As the teams gather for the ICC Men’s T20 World Cup in the USA and Caribbean, get ready to witness some history in the making. With the format known for its record-breaking feats, let’s take a look at some of the records that could be broken in this edition of the tournament. Virat Kohli has scored 103 fours in the ICC Men’s T20 World Cup and is just behind Sri Lanka’s Mahela Jayawardena’s 111 fours. Kohli already holds the record for the highest run tally in the tournament, and the chase master will aim to add another accolade to his name in this edition. Rohit Sharma who is fourth on the list with 91 fours will also look to get to the top spot as will David Warner, who has 86 fours to his name now. Virat Kohli scored an unbeaten 53-ball 82* to help India secure an opening victory against Pakistan in their ICC Men’s T20 World Cup 2022 encounter. Fastest Hundred (by balls) With 47- and 50-ball centuries, Chis Gayle currently holds the top two spots for the fastest century in the Men’s T20 World Cup. With Nepal’s Jan Nicol Loftie-Eaton setting the fastest overall T20 century at just 33 balls this year, this record could very well be under threat. With the expanded teams in this edition and the high strike-rates witnessed already this year, expect this record to be broken in this edition. Most catches by a fielder AB de Villiers currently sits at the top of the table for most catches as a fielder in the Men’s T20 World Cup with 23 catches to his name. David Warner is next on the list with 21 catches. The Australian will look to get this record in his name as he gears up to play another T20 World Cup. Rohit Sharma and Glenn Maxwell are also in the running for the pole position as they both are joint-fourth in the list with 16 catches each. First team to win all ICC Trophies at the same time Pat Cummins led Australia to history last year when they won the ICC Test Championship and ICC Men’s Cricket World Cup in 2023. In the Caribbean this year they have the opportunity to become the first team in history to hold the ICC Trophies in all three formats of the game at the same time if they manage to win the 2024 T20 World Cup. In addition to this, Australia are also the defending champions in the ICC U19 Men’s Cricket World Cup, the ICC Women’s T20 World Cup and the ICC Women’s Cricket World Cup as well. Australia lift the World Cup for a record sixth occasion | CWC23 Australia chased down the India total by the 43rd over mark. Most Runs in a single edition of the tournament With the total number of teams expanding from 16 to a record 20 in this edition of the ICC Men’s T20 World Cup, teams have the potential to play up to nine matches in the tournament. With this increase in matches, one can expect the record of total runs accumulated in a single edition to be challenged. Currently, the record belongs to Virat Kohli who scored 319 runs in 6 matches in the 2014 edition of the ICC Men’s T20 World Cup. Broadcasting news! Ariana Television Network (ATN) announced last week that it has secured the rights to broadcast this year’s T20 World Cup in Afghanistan. News, updates and information on the event will be published regularly on Ariana News website and digital platforms so be sure to stay tuned.",cricket
Australia pulls out of ODI series against Afghanistan,"Cricket Australia (CA) has called off the ODI series against Afghanistan in the United Arab Emirates in March. In a statement, CA explained that the decision followed the Islamic Emirate of Afghanistan’s recent announcement regarding further restrictions on women and girls’ education and employment. “CA is committed to supporting growing the game for women and men around the world, including in Afghanistan, and will continue to engage with the Afghanistan Cricket Board in anticipation of improved conditions for women and girls in the country,” the CA statement read. “We thank the Australian Government for its support on this matter.”",cricket
South Africa ‘wary’ of formidable Afghanistan ahead of ODI series,"Afghanistan will face cricket powerhouse South Africa in the first of three one-day international (ODI) fixtures at the Sharjah Cricket Stadium in the UAE on Wednesday. Afghanistan and South Africa have met five times before – twice in ODIs and three times in T20Is – and on all of those occasions, during various World Cups, South Africa have come out on top. However, Afghanistan, who only received full member International Cricket Council (ICC) status in 2017, has beaten every Test-playing nation in white-ball cricket except India and South Africa. South Africa’s Lungi Ngidi said Monday that for this reason, the Afghans cannot be underestimated. “The opinion of a cricket team is purely based on what people think, (but) it’s not always the truth,” Ngidi said. “Anyone’s opinion on what Afghanistan might play like, that doesn’t affect us because we’ve seen what they can do against other international teams. “We’re not taking this series lightly. They have world-class cricketers and match winners, and on their day they can beat the best in the world. “We’ve seen it happen, so I don’t think anyone should be looking at them as minnows. We definitely know what we’re in for.” For Afghanistan, Rashid Khan has returned from an injury that kept him out of a one-off Test against New Zealand, which was rained out without a ball being bowled.",cricket
"Messi’s Argentina go through on penalties, but shock exit for Brazil","Argentina beat the Netherlands 4-3 in a penalty shootout to keep Lionel Messi’s World Cup dream alive on Friday after the Dutch had snatched a 2-2 draw from the jaws of defeat in an extraordinary quarter-final. Emiliano Martinez saved the first two Dutch penalties to give Argentina a huge advantage and Lautaro Martinez sent Andries Noppert the wrong way to set up a date for the South Americans with Croatia in the semi-finals on Tuesday. Messi celebrated with arms aloft in front of the massed ranks of Argentina fans, his hopes of securing football’s biggest prize at the fifth attempt intact for a few more days, Reuters reported. “Argentina are among the four best in the world because they show that they know how to play every game with the same desire and the same intensity,” said the seven-times Ballon D’or winner. “A lot of joy, a lot of happiness. We didn’t have to go to extra time or penalties, we had to suffer. But we got through and it’s impressive.” The defeat was the first for the Dutch in 20 matches going back to last year’s European Championship and brought an end to 71-year-old Louis van Gaal’s third spell as coach. It was the second time a Van Gaal team had lost to Argentina via a shootout in the knockout stages of the World Cup after a 4-2 defeat following a 0-0 draw in 2014 semi-finals. Livakovic cements Croatia hero status Croatia goalkeeper Dominik Livakovic cemented his hero status with a stunning display to help his team knock out five-time champions Brazil on Friday and reach the World Cup semi-finals. The stopper had already won hearts back home after making three penalty saves against Japan in the last 16 shootout, which set his team on a collision course with favorites Brazil. He produced a string of brilliant saves on Friday to keep Brazil’s attackers at bay and ensure Croatia reached extra time with the match goalless. The game eventually finished 1-1, with Bruno Petkovic canceling out Neymar’s brilliant solo opener in the dying minutes of extra time. The stage was set again for Livakovic and he did not disappoint, denying Rodrygo from the spot to help Croatia triumph 4-2 on penalties. The 27-year-old made 10 saves against the Selecao, who were favorites to win the World Cup, on another historic night for Croatian football. “We know if it comes to penalties we have the edge on our side,” said Croatia defender Borna Sosa. “He’s shown many, many times through his career he’s a magnificent goalkeeper. “He gives us a lot of confidence because against a team like Brazil they will always have chances, because you cannot contain these kind of players. “To win against Brazil you need to have this kind of luck a little bit, and a goalkeeper on the maximum level that we had today.” Saturday’s line up England will go up against France on Saturday looking to take another step towards World Cup glory. The Three Lions have won three of their first four matches in Qatar so far, with a draw against USA the only blotch on their record. And with the tournament going well, Gareth Southgate isn’t expected to make any changes when it comes to his starting XI. England has been impressive so far, scoring 12 goals and overcoming the likes of Iran, Wales and Senegal to make the last eight of the competition. In the other match of the day, Morocco will take on Portugal and, according to their coach, Walid Regragui, Morocco will have the backing of an entire continent when they attempt to become Africa’s first World Cup semi-finalists. The North Africans will take on Portugal at Al Thumama Stadium as the first Arab nation to reach the last eight after beating Spain on penalties in the last 16. A World Cup semi-final against either England or France is up for grabs, alongside a place in the history books. Cameroon in 1990, Senegal’s 2002 side and the 2010 Ghana team all fell at the quarter-final stage. “We have nothing to lose. The challenge is to do as well as we did in the previous games,” Regragui said on the eve of the match against Portugal. “We want to show that Africa deserves to be here, Morocco deserves to be here. Morocco have the best defensive record in the tournament, having conceded only one goal in their four matches. Where to watch Afghan fans need not miss out on any of the excitement of this year’s tournament which is being broadcast live and exclusively by Ariana Television in Afghanistan. For the full broadcast scheduleCLICK HERE",football
Shahidi to auction off his bat used in World Cup match against Pakistan,"Hashmatullah Shahidi, who captained Afghanistan at the ICC ODI World Cup 2023 in India, met with returning refugee families in Torkham on Wednesday and said he will auction off the bat he used in the match against Pakistan, which his team won. Shahidi announced the move while distributing cooked meals to thousands of refugees returning home from Pakistan. He also said he hoped to travel to the United States and England soon to seek help from the refugees that have been pushed out of Pakistan.",cricket
Afghanistan cricket team will never be taken lightly again: Trott,"Afghanistan head coach Jonathan Trott said no side would “ever again” take Afghanistan lightly after they knocked England out of the Champions Trophy on Wednesday. Ibrahim Zadran’s heroic 177 helped Afghanistan post 325 against England in Lahore, before bowlers held their nerve to seal an eight-run victory. The win comes in a series of Afghanistan’s victories against established cricketing nations at major ICC events. In 2024, they defeated New Zealand and Australia en route to the T20 World Cup semi-finals, and eased past England and Pakistan at the 2023 World Cup. Trott felt that collective body of work has permanently altered perceptions of Afghanistan’s cricket side. “What happened in the World Cup, T20 World Cup, and [now], I say this to the players: Afghanistan’s never going to be taken lightly ever again. “In the past, perhaps people would have seen the fixture and thought it was a little bit easier than playing a historic Test nation. But in this format, in these conditions, I don’t see that. I see every game that we play is going to be competitive and every game we go into I expect to win. Australia aren’t going to take us lightly.” That Trott’s focus has shifted immediately to Afghanistan’s final group game on Friday demonstrates his side is focused on the tournament as a whole and not just the odd upset win. The clash against England was an eliminator for both sides but crucially, not a qualifier. “Since I’ve been coach we’ve played against Australia three times and we’ve been in the game each of those games,” Trott said. “I’ll tell the players to enjoy tonight. I’m going to make sure when they wake up tomorrow, they’re ready for Australia immediately. The focus is on Australia. That’s how the players are going to be and that’s what I’ll tell the fans.” On Ibrahim Zaran who scored 177 off 146 balls, the highest score in the tournament’s history, Trott said that it was a “memorable knock for him and one that he ‘ll remember for a long time. “This innings showed the quality of Ibrahim as a player,” Trott said. “I think he played some fantastic cricket shots, certainly the straight six off Jofra Archer comes to mind, and some various other shots. I’m really pleased for him. He’s been out for a little bit of time and he’s looked a little bit out of rhythm. But hopefully he’s found it now. He’s certainly found it, but hopefully he can continue this form, which is a memorable knock for him and one that he’ll remember for a long time but hopefully he can repeat it again on Friday. “When I took over, there was a rawness to the side. A lot of it is to do with preparation and how they think about themselves and the work they do off the field, with which you give yourself the best chance on the field. The guys play a lot of cricket, they play a lot of franchise cricket, which is good because they’re developing and playing with the world’s best players and seeing how they perform. They bring that experience back to the Afghanistan side and throw it in the melting pot and we get nights like this.” Cricket fans across the country can watch all Champions Trophy matches live on Ariana Television. For updates, fixtures and schedules be sure to follow Ariana Television and Ariana News’ digital platforms.",cricket
Afghanistan name squad for maiden Test against New Zealand,"Hashmatullah Shahidi will captain Afghanistan while other prominent names in the squad include Ibrahim Zadran, Rahmat Shah, and Azmatullah Omarzai. Rashid Khan, Rahmanullah Gurbaz, and Karim Janat weren’t in consideration as they weren’t a part of the preliminary squad. Rashid, Afghanistan’s talismanic all-rounder, wasn’t considered because he had been advised to refrain from long-format cricket for a year after his back operation. All-rounder Gulbadin Naib, who was a part of the preliminary squad also didn’t make it to the final squad. Shahidi has played eight Tests for Afghanistan, of which three have been as a captain. Squad:Hashmatullah Shahidi (c), Ibrahim Zadran, Rahmat Shah, Abdul Malik, Riaz Hassan, Afsar Zazai, Ikram Alikhil, Baheer Shah Mahboob, Shahidullah Kamal, Azmatullah Omarzai, Shams Ur Rahman, Zia Ur Rahman Akbar, Zahir Khan Pakteen, Qais Ahmad, Khalil Ahmad, Nijat Masood Recently, Afghanistan’s opponent New Zealand announced that they had appointed former Sri Lanka left-arm spinner Rangana Herath as their spin bowling coach for the next three Tests, whereas former India batting coach Vikram Rathour joined the camp for the one-off Afghanistan game.",cricket
Afghanistan to tour India for three-match T20I series in January,"Afghanistan Cricket Board (ACB) announced on Tuesday that the country’s team will tour India for a three-match T20I series in early January 2024. The three T20I matches are scheduled for the 11th, 14th and 17th of January in Mohali, Indore and Bengaluru cities respectively. While Afghanistan and India have crossed paths in various ACC and ICC events, this series marks the first time these nations will engage in a multi-match white-ball series, ACB said. Afghanistan recently visited India for the ICC Men’s Cricket World Cup 2023, where they secured the 6th position on the points table after registering memorable victories against England, Pakistan, Sri Lanka, and Netherlands.",cricket
Afghan cricket star Rashid Khan to donate Cricket World Cup earnings to quake victims,"Afghanistan’s star cricket player Rashid Khan, who is part of the national team currently in India, said Sunday he will donate all of his World Cup 2023 earnings to the victims of Saturday’s deadly earthquake in Herat province. So far, the official death toll is over 2,000. Extensive damage has been reported, with entire villages destroyed. A 6.3 magnitude earthquake struck on Saturday, followed by a string of aftershocks, one measuring 6.3 and another 5.9. In a message on X, formerly Twitter, Rashid said: “I learned with great sadness about the tragic consequences of the earthquake that struck the western provinces (Herat, Farah, and Badghis) of Afghanistan. I am donating all of my #CWC23 match fees to help the affected people.” He also said that he will soon launch a fundraising campaign for the earthquake victims. Based on information from the Ministry of Natural Disasters, more than 2,053 people are confirmed dead, with 9,240 injured.",cricket
